so,so_date,so_del_date,qty,closed,act_disp_qty,act_disp_date,rate,currency,customer,fgcode_id
17021246,23-06-2018,27-08-2018,216,1,216,,21.17,USD,NWI,278
17021247,06-07-2018,13-09-2018,260,1,260,,61,USD,NWI,260
17021247,06-07-2018,13-09-2018,184,1,184,,65.76,USD,NWI,262
17021247,06-07-2018,13-09-2018,216,1,216,,17.51,USD,NWI,263
17021247,06-07-2018,13-09-2018,200,1,200,,17.33,USD,NWI,333
17021247,06-07-2018,13-09-2018,200,1,200,,28.4,USD,NWI,254
17021247,06-07-2018,13-09-2018,288,1,288,,21.17,USD,NWI,278
17021247,06-07-2018,13-09-2018,252,1,252,,18.9,USD,NWI,283
17021248,06-07-2018,10-09-2018,448,1,448,,41.08,USD,NWI,266
17021248,06-07-2018,10-09-2018,352,1,352,,41.08,USD,NWI,376
17021248,06-07-2018,10-09-2018,200,1,200,,32.5,USD,NWI,377
17021248,06-07-2018,10-09-2018,198,1,198,,77.18,USD,NWI,339
17021277,26-03-2018,26-05-2018,425,1,425,,0,USD,Dabur International Ltd,71
17021277,26-03-2018,26-05-2018,425,1,425,,0,USD,Dabur International Ltd,102
17021282,09-04-2018,29-05-2018,1070,1,1070,,,USD,"NAWI ZAMAN , AFGHANISTAN",110
17021282,09-04-2018,29-05-2018,2000,1,2000,,,USD,"NAWI ZAMAN , AFGHANISTAN",120
17021289,03-05-2018,28-06-2018,2332,1,2332,,9.36,USD,United Exchange Corporation,239
17021289,03-05-2018,28-06-2018,1000,1,1000,,9.36,USD,United Exchange Corporation,294
17021290,03-05-2018,02-08-2018,216,1,216,,180,USD,AUROMERE INC.,52
17021290,03-05-2018,02-08-2018,563,1,563,,179,USD,AUROMERE INC.,48
17021291,11-05-2018,10-07-2018,270,1,270,,45,USD,Amercare,14
17021291,11-05-2018,10-07-2018,700,1,700,,21,USD,Amercare,12
17021292,11-05-2018,21-06-2018,100,1,100,,61.2,USD,Energy Ventures,354
17021293,11-05-2018,23-07-2018,335,1,335,,67.68,USD,Kerala Nature,349
17021296,26-05-2018,25-07-2018,300,1,300,,27.22,USD,NWI,336
17021296,26-05-2018,25-07-2018,280,1,280,,61,USD,NWI,260
17021296,26-05-2018,25-07-2018,270,1,270,,17.51,USD,NWI,263
17021296,26-05-2018,25-07-2018,216,1,216,,17.76,USD,NWI,332
17021296,26-05-2018,25-07-2018,216,1,216,,27.91,USD,NWI,264
17021296,26-05-2018,25-07-2018,200,1,200,,17.67,USD,NWI,259
17021296,26-05-2018,25-07-2018,324,1,324,,16.99,USD,NWI,67
17021296,26-05-2018,25-07-2018,288,1,288,,14.36,USD,NWI,281
17021296,26-05-2018,25-07-2018,230,1,230,,14.36,USD,NWI,284
17021297,26-05-2018,25-07-2018,504,1,504,,48.64,USD,NWI,269
17021297,26-05-2018,25-07-2018,288,1,288,,48.64,USD,NWI,374
17021297,26-05-2018,25-07-2018,210,1,210,,21.11,USD,NWI,371
17021299,15-06-2018,20-08-2018,452,1,452,,41.08,USD,NWI,266
17021299,15-06-2018,20-08-2018,608,1,608,,38.22,USD,NWI,267
17021299,15-06-2018,20-08-2018,270,1,270,,14.51,USD,NWI,372
17021302,19-06-2018,09-08-2018,2439,1,2439,,9,USD,Outiprix,426
17021303,19-06-2018,08-11-2018,695,1,695,,14.4,USD,MCM Worldwide Ltd,68
17021303,19-06-2018,08-11-2018,695,1,695,,13.68,USD,MCM Worldwide Ltd,69
17021305,19-06-2018,20-11-2018,2000,1,2000,,8.4,USD,Variety & Discount,505
17021305,19-06-2018,20-11-2018,2000,1,2000,,8.4,USD,Variety & Discount,506
17021305,19-06-2018,20-11-2018,0,1,0,,8.4,USD,Variety & Discount,507
17021306,21-06-2018,20-08-2018,504,1,504,,48.64,USD,NWI,269
17021306,21-06-2018,20-08-2018,440,1,440,,32.5,USD,NWI,377
17021306,21-06-2018,20-08-2018,198,1,198,,77.18,USD,NWI,339
17021307,21-06-2018,27-09-2018,359,1,359,,18.5,USD,NOX SARL,62
17021307,21-06-2018,27-09-2018,1225,1,1225,,16,USD,NOX SARL,63
17021310,03-07-2018,11-09-2018,576,1,576,,38.22,USD,NWI,267
17021310,03-07-2018,11-09-2018,936,1,936,,12.57,USD,NWI,270
17021310,03-07-2018,11-09-2018,192,1,192,,45.49,USD,NWI,338
17021311,05-07-2018,20-09-2018,120,1,120,,14.06,USD,Indus Merchant,401
17021311,05-07-2018,20-09-2018,157,1,157,,,USD,Indus Merchant,400
17021374,11-07-2018,25-09-2018,30,1,30,,26.4,USD,"NAWI ZAMAN , AFGHANISTAN",110
17021374,11-07-2018,25-09-2018,770,1,770,,26.4,USD,"NAWI ZAMAN , AFGHANISTAN",114
17021374,11-07-2018,25-09-2018,2000,1,2000,,25.3,USD,"NAWI ZAMAN , AFGHANISTAN",132
17021423,12-07-2018,17-09-2018,480,1,480,,48.64,USD,NWI,269
17021423,12-07-2018,17-09-2018,504,1,504,,12.57,USD,NWI,270
17021423,12-07-2018,17-09-2018,210,1,210,,21.11,USD,NWI,272
17021423,12-07-2018,17-09-2018,210,1,210,,21.11,USD,NWI,371
17021424,12-07-2018,24-09-2018,571,1,571,,43.05,USD,Thornton,159
17021425,12-07-2018,21-09-2018,680,1,680,,36,USD,Thornton,161
17021426,13-07-2018,07-09-2018,378,1,378,,49.52,USD,Qatar,76
17021426,13-07-2018,07-09-2018,391,1,391,,49.52,USD,Qatar,74
17021426,13-07-2018,07-09-2018,540,1,540,,49.52,USD,Qatar,75
17021426,13-07-2018,07-09-2018,398,1,398,,49.52,USD,Qatar,77
17021426,13-07-2018,07-09-2018,262,1,262,,49.52,USD,Qatar,135
17021426,13-07-2018,07-09-2018,400,1,400,,34.39,USD,Qatar,106
17021428,11-07-2018,20-09-2018,600,1,600,,21.6,USD,Tahi Pacific,494
17021622,20-07-2018,13-09-2018,4100,1,4100,,8.45,USD,Delta Int Trade,330
17021623,20-07-2018,12-09-2018,234,1,234,,4.92,USD,Delta Int Trade,329
17021623,20-07-2018,12-09-2018,683,1,683,,8.45,USD,Delta Int Trade,330
